"OBJECTID_1"	"INCIDENT_ID"	"OFFENSE_ID"	"OFFENSE_CODE"	"OFFENSE_CODE_EXTENSION"	"OFFENSE_TYPE_ID"	"OFFENSE_CATEGORY_ID"	"FIRST_OCCURENCE_DATE"	"LAST_OCCURENCE_DATE"	"REPORTED_DATE"	"INCIDENT_ADDRESS"	"GEO_X"	"GEO_Y"	"GEO_LON"	"GEO_LAT"	"DISTRICT_ID"	"PRECINCT_ID"	"NEIGHBORHOOD_ID"	"BICYCLE_IND"	"PEDESTRIAN_IND"
121503	2017491749	201749174954410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-25 14:56:00"	""	"2017-07-25 16:53:00"	"W HAMPDEN AVE / S SHERIDAN BLVD"	3125829	1663169	-105.053114	39.653345	4	423	"Harvey Park South"	0	0
121504	2017431870	201743187054410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-01 18:30:00"	""	"2017-07-01 18:50:00"	"N PEARL ST / E 17TH AVE"	3146258	1696032	-104.979893	39.7432629	6	621	"North Capitol Hill"	0	0
121505	2017432416	201743241654410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-01 21:50:00"	""	"2017-07-01 22:00:00"	"I25 HWYNB / W 23RD AVE"	3135940	1698910	-105.0165296	39.7513199	1	123	"Jefferson Park"	0	0
121506	2017433573	201743357354410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-02 10:31:00"	""	"2017-07-02 10:31:00"	"S SANTA FE DR / W ALAMEDA AVE"	3141472	1684323	-104.9971426	39.7111934	3	311	"Baker"	0	0
121507	2017434521	201743452154010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-01 02:15:00"	""	"2017-07-02 19:36:00"	"2024 MARKET ST"	3142546	1699821	-104.9930177	39.7537219	6	612	"Five Points"	0	0
121508	2017436222	201743622254010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-02 18:00:00"	""	"2017-07-03 12:05:00"	"I25 HWYNB / W 6TH AVE"	3136918	1689574	-105.0132293	39.7256765	1	123	"Baker"	0	0
121509	2017436744	201743674454010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-02 19:00:00"	""	"2017-07-03 17:26:00.000001"	"W HOWARD PL / N JULIAN ST"	3131855	1694012	-105.0311475	39.7379328	1	122	"West Colfax"	0	0
121510	2017491830	201749183054410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-25 15:23:00"	""	"2017-07-25 15:34:00"	"E ALAMEDA AVE / S IVY ST"	3162859	1684478	-104.9211216	39.7112693	3	321	"Hilltop"	0	0
121511	2017492679	201749267954410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-25 18:15:00"	""	"2017-07-25 22:37:00"	"W COLFAX AVE / GLENARM PL"	3141939	1694849	-104.9952748	39.7400822	6	611	"Civic Center"	0	0
121512	2017493492	201749349254410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-26 09:05:00"	""	"2017-07-26 09:58:00"	"22O BLOCK W ALAMEDA AVE"	3143821	1684300	-104.9887938	39.7110942	3	311	"Baker"	0	0
121513	2017495164	201749516454010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-26 20:35:00"	""	"2017-07-26 20:35:00"	"W ALAMEDA AVE / S DECATUR ST"	3134279	1684271	-105.0227103	39.7111571	4	412	"Athmar Park"	0	0
121514	2017437588	201743758854410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-03 22:07:00"	""	"2017-07-03 22:07:00"	"1300 BLOCK N ELATI ST"	3142294	1693966	-104.99403	39.7376528	6	611	"Civic Center"	0	0
121515	2017439522	201743952254010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-04 18:13:00"	""	"2017-07-04 18:13:00"	"7400 E HAMPDEN AVE"	3168440	1663019	-104.9017869	39.6522603	3	323	"Hampden South"	0	0
121516	2017441566	201744156654410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-05 06:54:00"	""	"2017-07-05 08:02:00"	"2900 BLOCK W 23RD AVE"	3133719	1698832	-105.0244299	39.751138	1	121	"Jefferson Park"	0	0
121517	2017501727	201750172754010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-29 11:20:00"	""	"2017-07-29 12:09:00"	"N FEDERAL BLVD / W COLFAX AVE"	3133517	1694947	-105.0252205	39.7404759	1	121	"West Colfax"	0	0
121518	2017503131	201750313154410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-29 22:49:00"	""	"2017-07-29 23:18:00"	"S PARKER RD / E MISSISSIPPI AVE"	3169355	1679153	-104.8981578	39.6965352	3	321	"Windsor"	0	1
121519	2017503946	201750394654410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-30 09:10:00"	""	"2017-07-30 09:28:00"	"PARK AVEW / LARIMER ST"	3143684	1700571	-104.9889554	39.7557633	6	612	"Five Points"	0	0
121520	2017506676	201750667654410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-31 12:21:00"	""	"2017-07-31 12:21:00"	"N JOSEPHINE ST / E COLFAX AVE"	3152197	1694921	-104.9587974	39.7401177	2	213	"Congress Park"	0	0
121521	2017444157	201744415754410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-06 07:00:00"	""	"2017-07-06 07:42:00"	"E 56TH AVE / N QUENTIN ST"	3184045	1716281	-104.8450039	39.7981782	5	512	"Montbello"	0	0
121522	2017444547	201744454754010	5401	0	"TRAF-HIT & RUN"	"TRAF - ACCIDENT - HIT & RUN"	"2017-07-06 10:28:00"	""	"2017-07-06 10:41:00.000001"	"N FEDERAL BLVD / FEDERAL TO WB I70 RAMP"	3133439	1711037	-105.0251988	39.7846467	1	111	"Regis"	0	0
121523	2017445507	201744550754410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-06 17:11:00"	""	"2017-07-06 17:11:00"	"N DAHLIA ST / E 13TH AVE"	3159870	1693645	-104.9315418	39.7364863	2	222	"Hale"	0	0
121524	2017506699	201750669954410	5441	0	"TRF-ACCIDENT"	"TRAF - ACCIDENT"	"2017-07-31 12:31:00"	""	"2017-07-31 13:54:00.000001"	"S SHERIDAN BLVD / W EVANS AVE"	3125740	1672571	-105.0532659	39.6791571	4	421	"Harvey Park"	0	0
